Date,Flow (MGD),Velocity (ft/s),Depth (inches),Rainfall (inches)
2018-04-02 13:00:00,0.1,0.68,3.15,0.0
2018-04-02 13:15:00,0.1,0.65,3.19,0.0
2018-04-02 13:30:00,0.1,0.69,3.13,0.0
2018-04-02 13:45:00,0.1,0.7,3.13,0.0
2018-04-02 14:00:00,0.1,0.7,3.18,0.0
2018-04-02 14:15:00,0.11,0.75,3.11,0.0
2018-04-02 14:30:00,0.1,0.69,3.11,0.0
2018-04-02 14:45:00,0.1,0.66,3.2,0.0
2018-04-02 15:00:00,0.11,0.72,3.17,0.0
2018-04-02 15:15:00,0.1,0.67,3.14,0.0
2018-04-02 15:30:00,0.09,0.67,3.07,0.0
2018-04-02 15:45:00,0.1,0.68,3.11,0.0
2018-04-02 16:00:00,0.1,0.72,3.13,0.0
2018-04-02 16:15:00,0.1,0.65,3.14,0.0
2018-04-02 16:30:00,0.09,0.62,3.18,0.0
2018-04-02 16:45:00,0.1,0.7,3.14,0.0
2018-04-02 17:00:00,0.1,0.69,3.17,0.0
2018-04-02 17:15:00,0.09,0.6,3.21,0.0
2018-04-02 17:30:00,0.09,0.62,3.19,0.0
2018-04-02 17:45:00,0.09,0.64,3.16,0.0
2018-04-02 18:00:00,0.1,0.69,3.15,0.0
2018-04-02 18:15:00,0.1,0.66,3.19,0.0
2018-04-02 18:30:00,0.1,0.68,3.16,0.0
2018-04-02 18:45:00,0.13,0.92,3.15,0.0
2018-04-02 19:00:00,0.09,0.62,3.16,0.0
2018-04-02 19:15:00,0.1,0.69,3.11,0.0
2018-04-02 19:30:00,0.11,0.73,3.21,0.0
2018-04-02 19:45:00,0.11,0.71,3.22,0.0
2018-04-02 20:00:00,0.14,0.92,3.3,0.0
2018-04-02 20:15:00,0.14,0.91,3.26,0.0
2018-04-02 20:30:00,0.1,0.67,3.25,0.0
2018-04-02 20:45:00,0.1,0.67,3.15,0.0
2018-04-02 21:00:00,0.11,0.71,3.2,0.0
2018-04-02 21:15:00,0.1,0.64,3.23,0.0
2018-04-02 21:30:00,0.11,0.73,3.15,0.0
